西元年份,公司代碼,公司簡稱,欄位編號,欄位名稱,欄位數值,欄位單位,補充說明,參考頁數,處理時間
2024,1718,中國人造纖維,1,是否承諾淨零排放／碳中和,無承諾,NA,報告書提及「2030年減量6%」及「每年減量1%」之目標，但未明確出現「淨零排放」或「碳中和」之承諾年份與關鍵字。,p.98,2026-05-04
2024,1718,中國人造纖維,2,預計達成淨零排放／碳中和年份,,NA,報告書中未明確承諾達成淨零排放或碳中和的具體西元年份。,p.98,2026-05-04
2024,1718,中國人造纖維,3,是否設定中期溫室氣體絕對減量目標,TRUE,NA,設定自基準年(2024年)起每年至少減量1%，以達成2030年減量6%之目標。,p.98,2026-05-04
2024,1718,中國人造纖維,4,中期減量目標年設定,2030,NA,設定於民國119年(西元2030年)達成減量目標。,p.98,2026-05-04
2024,1718,中國人造纖維,5,中期溫室氣體絕對減量目標值（百分比）,0.06,NA,目標為2030年減量6%。,p.98,2026-05-04
2024,1718,中國人造纖維,6,中期減量基準年設定,2024,NA,設定基準年為民國113年(西元2024年)。,p.98,2026-05-04
2024,1718,中國人造纖維,7,中期減量基準年排放量,349657.0076,公噸CO2e,"基準年(2024)範疇一(338,952.5008)與範疇二(10,704.5068)排放量之總和。",p.98,2026-05-04
2024,1718,中國人造纖維,8,中期目標是否取得SBT認證,FALSE,NA,報告書未提及目標取得SBTi認證。,NA,2026-05-04
2024,1718,中國人造纖維,9,範疇一/類別一（值）,"338,952.50",公噸CO2e,2024年中纖公司(含高雄總廠及台北辦公室)範疇一排放總量。,"p.58, p.99",2026-05-04
2024,1718,中國人造纖維,10,範疇二/類別二（值）,"10,704.51",公噸CO2e,2024年中纖公司(含高雄總廠及台北辦公室)範疇二排放總量。,"p.58, p.99",2026-05-04
2024,1718,中國人造纖維,11,範疇三（值）,NA,公噸CO2e,報告書僅進行範疇一及範疇二盤查，未完整揭露範疇三數據。,"p.58, p.97",2026-05-04
2024,1718,中國人造纖維,12,類別三（值）,NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,13,類別四（值）,NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,14,類別五（值）,NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,15,類別六（值）,NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,16,Scope 3 類別 1 (購買商品或服務),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,17,Scope 3 類別 2 (資本商品),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,18,Scope 3 類別 3 (燃料與能源相關活動),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,19,Scope 3 類別 4 (上游運輸和配送),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,20,Scope 3 類別 5 (營運廢棄物),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,21,Scope 3 類別 6 (商務旅行),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,22,Scope 3 類別 7 (員工通勤),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,23,Scope 3 類別 8 (上游租賃資產),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,24,Scope 3 類別 9 (下游運輸和配送),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,25,Scope 3 類別 10 (銷售產品的加工),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,26,Scope 3 類別 11 (使用銷售產品),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,27,Scope 3 類別 12 (銷售產品廢棄處理),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,28,Scope 3 類別 13 (下游租賃資產),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,29,Scope 3 類別 14 (特許經營),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,30,Scope 3 類別 15 (投資),NA,公噸CO2e,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,31,是否揭露近三年溫室氣體排放資料,FALSE,NA,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,32,是否設定範疇三減量目標,FALSE,NA,未揭露範疇三相關數據。,NA,2026-05-04
2024,1718,中國人造纖維,33,範疇三減量目標實際作為,NA,NA,未設定範疇三目標。,NA,2026-05-04
2024,1718,中國人造纖維,34,2024年度總能源使用量,"3,494,375,000.00",百萬焦耳（MJ）,2024年能源消耗總量，單位為GJ，換算需注意但原始單位即為GJ。,p.52,2026-05-04
