統一編號,公司代號,公司全稱,公司簡稱,行業大類,最大廠所處縣市,此份永續報告的邊界,是否承諾淨零排放／碳中和,預計達成淨零排放／碳中和年份,是否設定中期溫室氣體絕對減量目標,中期減量目標年設定,中期溫室氣體絕對減量目標值（百分比）,中期減量基準年設定,中期減量基準年排放量,中期目標是否取得SBT認證,2024年度總能源使用量,2023年度總能源使用量,2022年度總能源使用量,2024營收資料,當年度總用電量,是否設定節能目標,節能目標年設定,節能目標值（百分比）,節電目標值設定（百分比）,是否達成政府用電大戶再生能源建置義務,再生能源裝置容量,是否設定再生能源使用目標,再生能源目標年設定,再生能源目標值（百分比）,是否取得RE100認證,是否說明關鍵減量策略,是否揭露近三年溫室氣體排放資料,範疇一/類別一（值）,範疇二/類別二（值）,類別三（值）,類別四（值）,類別五（值）,類別六（值）,範疇三（值）,是否設定範疇三減量目標,範疇三減量目標實際作為,是否揭露各項能源使用細項,2024年度使用的各種能源項目,再生能源使用佔總發電量（百分比）,再生能源使用來源（自發自用、購電協議、再生能源憑證）,是否生產支持轉型至低碳經濟之產品/服務,支持轉型至低碳經濟之產品/服務產生的營收或營收占比,Scope 3 類別 1 (購買商品或服務),Scope 3 類別 2 (資本商品),Scope 3 類別 3 (燃料與能源相關活動),Scope 3 類別 4 (上游運輸和配送),Scope 3 類別 5 (營運廢棄物),Scope 3 類別 6 (商務旅行),Scope 3 類別 7 (員工通勤),Scope 3 類別 8 (上游租賃資產),Scope 3 類別 9 (下游運輸和配送),Scope 3 類別 10 (銷售產品的加工),Scope 3 類別 11 (使用銷售產品),Scope 3 類別 12 (銷售產品廢棄處理),Scope 3 類別 13 (下游租賃資產),Scope 3 類別 14 (特許經營),Scope 3 類別 15 (投資),符合永續指引之營收 (Turnover) 佔比,符合永續指引之資本支出 (CapEx) 佔比,符合永續指引之營運費用 (OpEx) 佔比,單位產品溫室氣體排放強度 (特定製程),2019 碳排放量,2020 碳排放量,2021 碳排放量,2022 碳排放量,2023 碳排放量（公噸二氧化碳當量）,2024 碳排放量（公噸二氧化碳當量）,2019 範疇一量,2020 範疇一量,2021 範疇一量,2022 範疇一量,2023 範疇一量（公噸二氧化碳當量）,2024 範疇一量（公噸二氧化碳當量）,2019 範疇二量,2020 範疇二量,2021 範疇二量,2022 範疇二量,2023 範疇二量（公噸二氧化碳當量）,2024 範疇二量（公噸二氧化碳當量）,減量預期,總碳排放量_2022,總碳排放量_2023,總碳排放量_2024,營收_2022,營收_2023,營收_2024,碳強度_2024,碳強度_2023,碳強度_2022,總用電量_2022,總用電量_2023,總用電量_2024,再生能源裝置量_2022,再生能源裝置量_2023,再生能源裝置量_2024,燃煤使用量_2022,燃煤使用量_2023,燃煤使用量_2024,能效進步率_2022_2024,關鍵減量策略,碳費佔淨利_%
86522210,6505,台塑石化股份有限公司,台塑化,石化業,雲林縣,,台塑石化以 2050 年達到碳中和為長期目標,2050,TRUE,2030,28%,2007,"31,820,000",無,"351,642,900,000","364,274,130,000","365,406,000,000",,"2,466,400,000",FALSE,NA,NA,1%,NA,"1,204",FALSE,NA,NA,FALSE,TRUE,TRUE,"23,221,634","193,699",NA,NA,NA,NA,NA,FALSE,NA,FALSE,非再生能源: 351638000000 MJ; 再生能源: 4900000 MJ;,0,自發自用,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,"24,467,047","24,234,494","23,444,689",,,,"24,000,501","24,004,640","23,207,726",,,,"466,546","229,854","236,964","4,074,210 公噸 CO2e","24,467,047","24,234,494","23,444,689","848,048,496,000","712,576,194,000","663,823,047,000",35.32,34.01,28.85,,,"2,466,400,000",,,"1,204","7,812,636","7,788,993","7,645,958",22.9%,"2025年：節能減碳循環經濟改善、設置及開發太陽能與小水力等再生能源、鍋爐混燒固體再生燃料（SRF）5%、以共煉方式生產永續航空燃油（SAF），較2007年基準年減少22%（目標排放量2,467萬噸）。2030年：製程技術優化、評估以生質能等低碳燃料取代燃煤電廠部分煤用量並提高SRF混燒比例、增加SAF產量，較2007年基準年減少28%（目標排放量2,271萬噸）。2050年：評估朝向低（零）碳能源轉型、氫能與氨能技術研發、碳捕捉再利用及封存（CCUS）、以碳匯與負碳額度抵銷，達成碳中和。",33.1%
30414175,2002,中國鋼鐵股份有限公司,中鋼,鋼鐵業,高雄市,,TRUE,2050,TRUE,2030,25%,2018,"22,100,460",無,"182,734,510,000","178,018,751,000","192,777,937,000",,"2,478,844,446",FALSE,NA,NA,2%,NA,"62,000",FALSE,NA,NA,FALSE,TRUE,TRUE,"17,587,087","1,166,325",NA,NA,NA,NA,"11,036,798",FALSE,產品碳足跡盤查、廢棄物資源化,TRUE,煤炭: 177098607 GJ; 天然氣: 10172297 GJ; 柴油: 94706 GJ; 汽油: 4282 GJ; 低硫燃料油: 89958 GJ; 外購電力: 8923840 GJ;,0,自發自用、再生能源憑證,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,"19,630,736","18,066,406","18,762,930",,,,"18,248,808","16,808,554","17,586,100",,,,"1,381,928","1,257,852","1,176,830","4,096,540 公噸 CO2e","19,630,736","18,066,406","18,762,930","449,567,488,000","363,326,498,000","360,535,714,000",52.04,49.72,43.67,"2,775,567,222","2,557,876,389","2,478,844,446",,,"62,000","6,709,192","6,018,498","6,193,159",18.2%,2025至2030年：透過高爐添加低排碳鐵源、高爐噴氫取代煤、鋼化聯產、增用廢鋼，2030年較2018年基準年減碳25%（範疇一＋範疇二）。2050年：以設備電力化、無碳燃料、碳捕捉利用與封存（CCUS）、全氫能冶煉製程四路徑，邁向碳中和。,153.1%
22099131,2330,台灣積體電路製造股份有限公司,台積電,半導體業,台中市,,承諾於民國 139 年前全球營運淨零排放,2050,TRUE,2030,,2020,"9,648,694",X,"90,133,200,000","82,854,000,000","75,470,400,000",,"21,944,000,000",TRUE,2030,18%,NA,TRUE,"15,912",TRUE,2030,60%,TRUE,TRUE,TRUE,"1,581,312","10,926,644",NA,NA,NA,NA,"8,223,173",TRUE,成立供應鏈碳管理平台、推動供應鏈減碳行動策略、要求供應商簽署減排協議,TRUE,電力: 255.5 億度(約); 天然氣: 19.2 億度 (約); 柴油: 0.2 億度 (約);,0,自發自用、購電協議、再生能源憑證,TRUE,NA,"5,656,384",NA,"2,458,773","1,427","58,775","3,302","40,017",NA,"1,211",NA,NA,NA,3284,NA,NA,,,,,,,,"11,085,996","11,418,278","12,140,434",,,,"1,837,487","1,288,104","1,574,758",,,,"9,248,508","10,130,174","10,565,677","4,100,600 公噸 CO2e","11,085,996","11,418,278","12,140,434","2,263,891,292,000","2,161,735,841,000","2,894,307,699,000",4.19,5.28,4.90,"21,086,000,000","23,222,000,000","21,944,000,000","5,805","7,269","15,912",,,,-6.6%,2025年：溫室氣體排放零增量；全公司20%用電量為再生能源、海外子公司100%使用再生能源。2030年：持續採最佳技術推動低碳製造與節能（2016至2030年新增節能措施累積節能率18%），單位產品溫室氣體排放量較2020年基準年減少30%、總排放量回到2020年水準，並達成RE60（全公司生產營運據點60%用電量為再生能源）。2040年：達成RE100。2050年：啟用製程溫室氣體替代方案與外部碳權取得，達成全球營運淨零排放。,0.4%
84613756,2048,中龍鋼鐵股份有限公司,中龍鋼鐵,鋼鐵業,台中市,,長期2050年以實現碳中和為努力目標,2050,TRUE,2030,25%,2018,"11,298,510",無,"98,908,052,000","101,741,339,000","110,392,735,000",,"6,512,876,394",FALSE,NA,NA,2%,TRUE,"11,857",FALSE,NA,NA,FALSE,TRUE,TRUE,"8,791,141","191,821",NA,NA,NA,NA,"1,384,100",FALSE,上游原料運輸與配送、貨物下游運輸和配送、商務旅行,TRUE,電力: 3909398 GJ; 天然氣: 2227009 GJ; 柴油: 28996 GJ; 汽油: 2775 GJ; 煤炭: 92719503 GJ; 洗油: 20371 GJ;,0,自發自用、再生能源憑證,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,"8,970,700","9,216,366","8,982,962",,,,"8,810,468","9,054,468","8,791,141",,,,"160,232","161,898","191,821","4,096,540 公噸 CO2e","8,970,700","9,216,366","8,982,962","110,728,911,000","89,574,167,000","82,029,932,000",109.51,102.89,81.01,"2,722,822,931","2,512,375,602","6,512,876,394",,,"11,857","5,202,334","4,810,478","4,683,310",20.9%,2025年：使用再生能源、增加煉鋼廢鋼比、加大力度提升能源效率、原料儲存場室內化、製程操作參數優化與設備改善，較2018年基準年減碳7%。2030年：再提高煉鋼廢鋼比、高爐噴吹富氫氣體、高爐添加低排碳鐵源，較2018年減碳25%。2050年：導入無碳燃料、碳捕捉與封存（CCS，低碳高爐轉零碳高爐）與全氫能冶煉製程（鐵礦→DRI→EAF→鋼），達成碳中和。,淨利為負值
75708007,1301,台灣塑膠工業股份有限公司,台塑,石化業,雲林縣,,及配合台灣自 2025 年度起開始課徵碳費，加上為滿足利害 關係人對本公司永續轉型之期待與要求，已著手推動各廠碳排自主減量、公用廠燃煤鍋爐逐步汰換為燃氣鍋 爐、增加風力及太陽能綠能發電比例、提高再生能源用量及其他節水節能等措施，俾符合環境部 2030 年碳 費技術標竿指定削減率規定，朝「2050 碳中和」目標邁進,2050,TRUE,2030,40%,2020,"8,635,000",遠低於2°C,"59,255,668,000","64,108,651,000","59,495,248,000",,"4,438,537,778",TRUE,2030,20%,5%,NA,499,TRUE,2030,2%,FALSE,TRUE,TRUE,"3,454,675","4,095,796",NA,NA,NA,NA,"12,023,680",TRUE,循環經濟回收再生、推動低碳物流、綠色採購,TRUE,外購電力: 15978736 GJ; 外購蒸汽: 7920314 GJ; 燃料: 35340917 GJ;,0,自發自用、與台朔重工聯合設置風力發電,TRUE,20%,"3,469,669","29,059","1,019,199","684,424","2,983","2,880","6,180",NA,"1,113,676","2,214,949",NA,4393,NA,NA,"3,476,268",,,,,,,,"8,048,724","8,130,027","7,654,082",,,,"3,338,601","3,542,104","3,454,585",,,,"4,710,123","4,587,923","4,199,497","4,100,600 公噸 CO2e","8,048,724","8,130,027","7,654,082","251,647,354,000","199,138,777,000","200,040,347,000",38.26,40.83,31.98,"6,579,307,383","6,278,621,997","4,438,537,778",0,0,499,"940,048","1,095,456","1,055,201",25.3%,2025年：推動燃煤朝低（零）碳能源轉型（煤轉氣、汰除老舊燃煤鍋爐、碳捕捉及再利用、低能耗製氫）、節能減碳循環經濟並提高再生能源用量，溫室氣體排放較2020年基準年減少20%（降為690.8萬噸）。2030年：較2020年基準年減少40%。2050年：實現碳中和。,32.4%
58650902,1326,台灣化學纖維股份有限公司,台化,石化業,雲林縣,,本公司以 2050 年達成碳中和的長期目標維持不變,2050,TRUE,2030,25%,2020,"8,540,000",遠低於2°C,"81,022,173,000","84,778,240,000","82,137,006,000",,"1,702,199,722",TRUE,2025,3%,NA,NA,"42,195",TRUE,2030,5%,FALSE,TRUE,TRUE,"4,913,085","2,806,409",NA,NA,NA,NA,"11,518,905",FALSE,推動內部碳定價機制、制定高碳排設備採購案件設備選用分析表、優先採購綠色標章產品,TRUE,企業內購電力: 5784258 GJ; 外購電(台電): 343661 GJ; 燃氣: 27406281 GJ; 燃油: 210581 GJ; 燃煤: 32479728 GJ; 企業內購蒸汽: 14797664 GJ;,0,自建太陽能發電及水力發電設備（自發自用）,TRUE,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,"7,693,239","8,022,913","7,719,494",,,,"4,646,005","5,126,822","4,913,085",,,,"3,047,234","2,896,091","2,806,409","4,100,600 公噸 CO2e","7,693,239","8,022,913","7,719,494","379,896,563,000","332,619,533,000","348,607,574,000",22.14,24.12,20.25,"2,078,561,944","1,733,244,722","1,702,199,722",,"38,398","42,195","917,068","1,431,670","1,353,322",7.5%,2025年：燃油鍋爐改為燃氣鍋爐、減用燃煤、增設太陽能及水力再生能源並導入AI智能生產，碳排放量較2020年基準年減少10%。2030年：持續擴大增設再生能源、推動製程設備電氣化，碳排放量較2020年基準年減少25%。2050年：評估燃煤鍋爐改為燃氣鍋爐、研討氫能與氨能等低碳能源技術，達成碳中和。,30.8%
03707901,1328,台灣中油股份有限公司,中油,石化業,高雄市,,2050年達成淨零排放,2050,TRUE,2032,50%,2005,"11,580,000",無,"92,900,000,000","86,500,000,000",NA,,"1,922,222,224",FALSE,NA,NA,NA,TRUE,"21,222",FALSE,NA,NA,FALSE,TRUE,TRUE,"5,918,700","1,077,500",NA,NA,NA,NA,NA,FALSE,NA,TRUE,燃料氣: 4.22 千萬GJ; 天然氣: 2.81 千萬GJ; 殘碳: 1.27 千萬GJ; 外購電力: 0.692 千萬GJ; 低硫燃料油: 0.205 千萬GJ; 外購蒸汽: 0.09 千萬GJ; 液化石油氣: 0.009 千萬GJ;,NA,自發自用、再生能源憑證,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,"7,026,214","6,542,927","6,749,560",,,,"5,976,717","5,564,731","5,770,654",,,,"1,049,497","978,196","978,906","4,074,160 公噸 CO2e","7,026,214","6,542,927","6,749,560","1,221,856,842,000","1,103,468,528,000","1,097,341,659,000",6.15,5.93,5.75,,"1,855,555,556","1,922,222,224","12,515",,"21,222",,,,,2025年：較2005年基準年減少排放量40.6%（同年規劃完成宜蘭土場地熱電廠5.4MW併網）。2032年：持續推動碳管理與製程減量措施、擴大使用再生能源、評估擴大導入負碳技術、因應油品市場調整煉製生產模式，較2005年減碳50.2%。2050年：以優油、減碳、潔能為主軸，發展氫能、地熱能、太陽能、碳捕捉再利用與封存等技術，達成淨零排放。,淨利為負值
75370905,1303,南亞塑膠工業股份有限公司,南亞,石化業,雲林縣,,以「2050 年碳中和」為目標，積極落實「低碳能源轉型」、「節能減碳循環經濟」、「提高再生能源用量」、「碳 捕捉技術運用」等減碳策略，極力朝能源轉型、循環經濟、綠色產品等低碳製程努力，目前已於嘉義、新港部份廠房屋頂 完成太陽能發電系統建置，並持續落實其他能源轉型計劃,2050,TRUE,2030,35%,2007,"6,950,000",遠低於2°C,"29,288,428,000","33,639,615,000","40,449,629,000",,"2,486,601,000",TRUE,2025,3%,3%,TRUE,"14,713",FALSE,NA,NA,FALSE,FALSE,TRUE,"1,424,266","2,301,205",NA,NA,NA,NA,"11,371,413",TRUE,拓展回收料源、推廣回收產品品牌、綠色採購,TRUE,外購電力: 890348 千度; 天然氣: 108508 公噸; 燃煤: 319759 公噸; 燃料油: 52862 公秉; 企業內購蒸汽: 1550643 公噸;,0,自發自用、再生能源憑證,FALSE,12%,"4,525,275","19,775","504,753","17,833","6,055",942,"7,245",NA,"251,272","907,450",NA,346875,NA,NA,"4,783,938",,,,,,,,"4,535,698","3,752,539","3,623,847",,,,"1,606,554","1,385,813","1,357,669",,,,"2,929,144","2,366,726","2,266,178","4,074,210 公噸 CO2e","4,535,698","3,752,539","3,623,847","355,183,300,000","259,755,344,000","259,608,483,000",13.96,14.45,12.77,,,"2,486,601,000",,,"14,713","343,964","309,234","319,759",-0.9%,"2025年：低碳能源轉型（公用廠燃煤鍋爐改燃氣蒸汽鍋爐、天然氣取代煤炭與重油）並建置屋頂太陽能，較2007年基準年減量20%。2027年：SBTi目標，較2021年基準年減量15%。2030年：擴大太陽能建置（總容量約56,265.97KW）並推動碳捕捉回收資源化，較2007年基準年減量35%。2050年：導入生質原料取代天然氣、煙道尾氣碳捕捉，達成碳中和。",13.0%
11913502,1101,台灣水泥股份有限公司,台泥,水泥業,花蓮縣,,"2050全球水泥及混凝土事業體淨零路徑，依科學基礎減碳目標(Science Based Target, SBT)1.5度方法學、ISO IWA 42淨零指引",2050,FALSE,2030,,2016,,符合1.5°C目標,"92,088,519,000","96,157,165,000","111,479,482,000",,"4,297,000,000",TRUE,2040,50%,1%,TRUE,"203,000",FALSE,2030、2050,NA,FALSE,TRUE,TRUE,"3,311,817","208,671",NA,NA,NA,NA,"14,943,568",TRUE,成立綠色供應鏈聯盟,TRUE,"外購電力: 4,297 百萬度; 煤炭: 11,680 仟公噸; 柴油: 43,598 仟公升; 天然氣: 9,541 立方公尺;",0,自發自用、外購綠電,TRUE,57%,"1,220,508",NA,"1,149,386","664,210",NA,NA,NA,NA,"480,331",NA,NA,NA,NA,NA,NA,,,,,,,,"4,518,673","3,643,800","3,492,415",,,,"4,312,390","3,457,474","3,301,181",,,,"206,284","186,327","191,234","4,092,480 公噸 CO2e","4,518,673","3,643,800","3,492,415","113,929,706,000","109,314,335,000","154,606,511,000",22.59,33.33,39.66,"2,966,197,222","2,979,833,333","4,297,000,000",,,"203,000","702,595","498,935","466,089",-39.1%,2030年：以替代熟料、替代原料、替代燃料、工藝改善、餘熱發電、再生能源及碳捕獲為減碳策略，範疇一排放強度（公斤CO2e/噸膠結材料）較2016年降低23.9%、範疇二降低64.4%（SBT 1.5°C）。2050年：全球水泥及混凝土事業體淨零排放，殘存量以碳匯方式處理。,10.8%
03244509,1102,亞洲水泥股份有限公司,亞泥,水泥業,花蓮縣,,亞泥訂定下一階段目標，直到2050年全面實現淨零排放。,2050,TRUE,2030,,2019,,遠低於2°C,"12,567,000,000","11,959,122,000","13,534,761,000",,"441,000,000",FALSE,NA,NA,1%,NA,"4,466",FALSE,NA,NA,FALSE,TRUE,TRUE,"4,552,523","211,833",NA,NA,NA,NA,"98,847",TRUE,無實際作為,TRUE,電力: 1093 TJ; 煤炭: 9895 TJ; 柴油: 42 TJ; 汽油: 0.8 TJ; 重油: 11 TJ; 替代燃料: 650 TJ;,0,自發自用、轉供,TRUE,88%,"3,379",NA,"95,446",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,"3,073,716","2,782,856","2,613,337",,,,"2,907,129","2,634,142","2,481,183",,,,"166,588","148,714","132,154","4,098,570 公噸 CO2e","3,073,716","2,782,856","2,613,337","90,340,503,000","80,182,799,000","76,297,459,000",34.25,34.71,34.02,"2,102,196,389","1,975,655,000","441,000,000",,,"4,466","515,975","439,508","427,140",9.9%,2025年：範疇1+2水泥膠結材料排放強度較2019年降低8%（SBTi，2024年已提前達成）。2030年：排放強度較2021年降低22.9%（SBTi 1.5°C近期目標）。2035年：排放強度降低43.5%（自訂目標）。2050年：以導入循環經濟、生產低碳水泥、改善生產能耗、碳捕捉及利用、自然再碳酸化等措施，優先實現至少90%絕對減量並對剩餘排放使用碳抵換，達成淨零碳排。,7.5%
