公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）,關鍵減量策略
台塑化,石化業,"23,444,689",2050,28.0%,❌,✅,✅,❌,9.8%,NA,0.1%,1204,,NA,❌,"7,790,821",節能減碳循環經濟、設置再生能源、鍋爐混燒SRF、生產SAF、碳捕捉利用封存
中鋼,鋼鐵業,"18,762,930",2050,25.0%,❌,✅,✅,❌,8.0%,NA,1.4%,62000,,NA,❌,0,增加再生能源、提升能源效率、低碳高爐、鋼化聯產、增用廢鋼
台積電,半導體業,"12,140,434",2050,,❌,✅,✅,✅,-3.5%,18.0%,14.1%,15912,✅,60.0%,✅,0,推動低碳製造、使用再生能源、提升能源使用效率、強化氣候韌性
中龍鋼鐵,鋼鐵業,"8,982,962",2050,25.0%,❌,✅,✅,❌,9.1%,NA,0.2%,11857,✅,NA,❌,0,使用再生能源、增加煉鋼廢鋼比、提升能源效率、製程操作參數優化、設備改善
台塑,石化業,"7,654,082",2050,40.0%,遠低於2°C,✅,✅,✅,10.7%,20.0%,0.0%,499,,2.0%,❌,"1,180,546",燃煤轉型、節能減碳、再生能源、循環經濟、碳捕捉
台化,石化業,"7,719,494",2050,25.0%,遠低於2°C,✅,✅,❌,3.5%,2.5%,0.7%,42195,,5.0%,❌,"1,353,322",節能改善、能源轉型、循環經濟、其他措施
中油,石化業,"6,749,560",2050,50.2%,❌,✅,✅,❌,,NA,NA,21222,✅,NA,❌,0,碳管理、製程減量、擴大再生能源、導入負碳技術、調整煉製模式
南亞,石化業,"3,623,847",2050,20.0%,遠低於2°C,❌,✅,✅,-0.5%,3.0%,0.3%,14713.02,✅,NA,❌,"319,759",低碳能源轉型、提高再生能源用量、節能減碳循環經濟、碳捕捉技術運用
台泥,水泥業,"3,492,415",2050,,符合1.5°C目標,✅,✅,✅,-28.2%,50.0%,0.3%,203000,✅,NA,❌,"466,089",替代熟料、替代原料、替代燃料、工藝改善、餘熱發電
亞泥,水泥業,"2,613,337",2050,,遠低於2°C,✅,✅,✅,4.6%,NA,0.1%,4466,,NA,❌,"427,140",循環經濟、低碳綠色製程、創新低碳產品、碳捕捉利用
長春石化,石化業,"2,609,598",2050,30.0%,❌,,✅,❌,13.8%,3.0%,3.5%,6887,,,❌,"567,584",低碳能源轉型、能源效率提升、循環經濟、碳捕獲再利用、再生能源設置
群創,光電業,"2,196,864",NA,25.0%,遠低於2°C,✅,✅,✅,-3.1%,NA,1.3%,85840,,20.0%,❌,0,能源效率提升、製程低碳轉型、再生能源裝置、含氟氣體削減、供應鏈減碳
友達,光電業,"1,844,521",2050,42.0%,符合1.5°C目標,✅,✅,✅,-7.5%,30.0%,6.7%,524000,✅,30.0%,✅,0,提升能源效率、使用再生能源、低碳生產製造、循環再生產品、供應商減碳
聯電,半導體業,"1,358,834",2050,42.0%,符合1.5°C目標,✅,✅,✅,,30.0%,17.1%,14000,,50.0%,✅,0,自主減碳、投資淨零技術、採用再生能源
大連化工,石化業,"1,394,018",,,❌,,❌,,,,,,,,,0,
正隆,造紙業,"1,266,876",2050,20.0%,❌,✅,✅,❌,3.3%,10.0%,0.0%,12056.3,✅,NA,❌,"381,978",製程改善、能源轉換、循環經濟、創新應用
台灣美光,半導體業,"1,201,218",2050,42.0%,❌,,❌,,,,9.0%,11600,,100.0%,,0,優化製程設備、使用低GWP熱傳導流體、更新削減設備、提升能源效率、採購無碳電力
長春樹脂,石化業,"1,165,105",,,❌,,❌,,,,,,,,,"57,475",
美光晶圓,半導體業,"873,203",,,❌,,❌,,,,,,,,,0,
中石化,石化業,"855,874",2050,50.0%,❌,✅,✅,❌,-23.2%,NA,0.4%,3367,✅,NA,❌,"7,084",製程改善、設備更新、燃料改天然氣、能源效率改善、再生能源設置
東和鋼鐵,鋼鐵業,"757,133",2050,30.0%,❌,✅,✅,❌,2.0%,NA,3.1%,28486,✅,30.0%,❌,0,購買再生能源、電爐製程改善、減少副原料、使用低碳燃料、能效提升
