公司,股票代號,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030年減量目標設定,SBTi 承諾,具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,是否完成用電大戶再生能源設置義務,中期再生能源目標,RE100承諾,燃煤使用量（公噸）
台塑化,6505,"24,234,494",2050,28%,❌,短期 (2025 年): 節能減碳循環經濟改善措施、設置及開發再生能源 (太陽能、小水力等)、鍋爐混燒固體再生燃料 (SRF) 5%、以共煉方式生產永續航空燃油 (SAF)。,❌,❌,1.9%,1%,,❌,,❌,"7,790,821"
中鋼,2002,"18,066,406",2050,25%,❌,"中鋼已設定短、中、長期減碳目標,長期以139年達成碳中和作為努力目標,規劃各項策略,並制定碳中和路徑規劃圖。短期減碳策略,採取「增加再生能源使用」、「加大力度提升能源效率」為主;114至119年主要透過「高爐添加低排碳鐵源」、「高爐噴氫取代煤」、「鋼化聯產」、「增用廢鋼」達到119年較107年減碳25%之目標(範疇一+範疇二),119年之後邁向碳中和的長程規劃有4個路徑,「設備電力化」、「無碳燃料」、「碳捕捉利用與封存(CCUS)、「全氫能冶煉製程」,共10個面向推動減碳工作,並於139年邁向碳中和目標。",✅,❌,2.6%,,,❌,,❌
台積電,2330,"11,418,278",2050,,❌,氣候韌性方面，推動低碳製造，持續採用最佳技術減少溫室氣體排放。使用再生能源，持續使用再生能源及設置太陽能發電系統。提升能源使用效率，持續導入節能措施，積極落實節能行動。在供應鏈方面，透過 T.S.M.C. 供應鏈減碳行動策略，包括績效追蹤、提供支持、提升動機、創新合作四大方向進行減碳。,✅,✅,-20.6%,,14.1%,❌,60% (2030),✅
南亞,1303,"3,752,539",2050,35%,遠低於2°C,"南亞公司訂定「2050 年碳中和」為長期減碳目標，積極推動四大減碳策略：1. 低碳能源轉型（公用廠燃煤鍋爐停止運轉，設置燃氣蒸汽鍋爐等設備，另各生產廠也改用低碳能源如天然氣取代高碳能源如煤炭、重油）。2. 節能減碳循環經濟（持續推動製程改善、循環經濟、AI 及數位轉型，提升能源使用效率及減少廢棄物發生量）。3. 提高再生能源用量（於各廠區廠房屋頂建置太陽能發電設備，至 2030 年設置總容量約 56,265.97 KW）。4. 碳捕捉技術運用（擴建電子級及工業級液態CO2工廠，將化工製程中所發生的CO2回收資源化）。",✅,✅,14.9%,,0.3%,✅,19.5% (2030),❌,"319,759"
台泥,1101,"3,643,800",2050,,符合1.5°C目標,主要運用水泥製程中關鍵的替代熟料、替代原料、替代燃料、餘熱發電、製程改善、再生能源及碳捕獲做為減碳策略，碳匯部分自2023年啟動森林及土壤調查，作為淨零碳移除之可行方案。,✅,✅,-11.5%,1%,0.3%,✅,,❌,"466,089"
亞泥,1102,"2,782,856",2050,10%,遠低於2°C,亞泥重要減碳措施包含：1. 導入循環經濟（17%）、2. 生產低碳水泥（34%）、3. 改善生產能耗（5%）、4. 碳捕捉及利用（36%）、5. 自然再碳酸化（8%）。,✅,✅,62.8%,,0.1%,❌,,❌,"427,140"
群創,3481,"2,412,736",,25%,遠低於2°C,公司規劃短中期減碳目標為至 2030 年溫室氣體範疇一與範疇二排放量相較基準年 2020 年減量 25%。減量策略包含製程低碳轉型、能源效率提升、再生能源裝置設置。採取行動包含維持高效率尾氣削減設備效率、FCs 氣體減量使用、降低石化燃料使用、汰換老舊設備提升能源使用效率、設置太陽能發電裝置、設置沼氣生質發電裝置與評估低碳能源發電裝置等。,✅,✅,4.6%,2%,4.9%,❌,20% (2030),❌
友達,2409,"1,971,913",2050,42%,符合1.5°C目標,友達推動低碳供應鏈之策略一為「數位平台的導入與減碳路徑的規劃」，目標是透過數位科技及環保資源來引導供應鏈在 2030 年達成減碳 20% 的目標。2023 年友達與經濟部聯合 15 家關鍵供應商啟動「以大帶小製造業低碳及智慧化升級轉型補助」專案，並於 2024 年完成計劃中各項減碳目標。透過此專案，友達發揮產業影響力，以務實的技術與輔導，助攻供應商導入數位節能與碳管理機制，建置有效且長期運行的低碳轉型模式，推動整個供應鏈的低碳化目標。,✅,✅,0.9%,5%,6.7%,✅,30% (2030),✅
聯電,2303,"1,430,027",2050,42%,符合1.5°C目標,聯電已擬定低碳轉型計畫，將分別針對營運活動的直接排放（範疇一）、能源使用的間接排放（範疇二），以及價值鏈產生的間接排放（範疇三）進行減量。主要策略包括：1. 持續積極自主減碳（研發先進晶圓代工技術、提升能資源生產力及使用效率，將半導體晶圓製造及 IC 終端產品使用階段之碳排降到最低）；2. 全面採用再生能源（訂定 2025 年 25%、2030 年 50%、2050 年 100% 三階段目標，大幅提升再生能源使用比例）；3. 投資淨零碳技術（投資淨零碳排放技術及參與碳抵減相關專案，以抵減不可避免或尚有削減技術限制的碳排放）。,✅,✅,-17.3%,,17.1%,✅,50% (2030),✅
遠東新,1402,"569,532",2050,50%,❌,提升能源效率：透過製程改善、設備改善、能源管理三大方向提升能源效率。低碳燃料替代：逐步將高碳排放的水煤漿和重油鍋爐替換為碳排放量較低的天然氣鍋爐，以及織染廠使用生質燃料。發展再生能源：積極投資設置多元再生能源發電設備，並逐年外購再生電力，提升再生電力使用比例。使用碳捕捉及再利用（CCU）技術：本公司首創全球廢氣回收再製聚酯技術，將鋼鐵廠回收的廢氣，透過特殊微生物發酵技術生產乙醇，再製成聚酯產品。原料使用轉型：採用低碳替代原料，包含回收再生料和生物質，以廢棄物為原料，達到循環經濟之願景。,✅,✅,8.6%,,14.0%,✅,,❌,"185,210"
欣興,3037,"537,380",2050,30%,❌,欣興電子已採取多項關鍵策略，已持續朝永續目標前進，欣興預計於 2024~2026 年間在 6 廠區各設 1~2 座氫能發電廠，積極導入綠色能源以降低碳足跡，並提升能源自主性。此外，我們持續優化生產流程、推動廠區智慧節能技術，並參與國際減碳倡議，以確保企業發展符合全球永續標準。,✅,❌,-9.3%,,,✅,30% (2030),❌
南電,8046,"442,870",,3%,遠低於2°C,公司運用 AI 技術優化製程，提升良率並降低原物料消耗，如刪減烘烤、植錫球及錫膏製程改善。此外，節能節水方案分為三類：製程能源減量、能源管理、公用設備效率提升。,❌,✅,-8.1%,2%,0.1%,❌,,❌
台肥,1722,"413,921",2050,46%,❌,台肥公司的關鍵減量策略主要包括：硝酸工場DeN2O溫室氣體減量（初期以全廠碳排減量47%為目標，2040年減量35.5萬噸二氧化碳當量）；新建置2座2萬噸液氨儲運系統，以發展氫氨能；建置再生能源及儲能系統；研發大地友善肥料產品，以減少化學肥料使用量。,❌,❌,1.8%,1%,4.8%,❌,,❌
力成,6239,"306,448",2050,15%,❌,力成科技的溫室氣體減量策略著重於用電管理及減少用電量，設定節電目標：年節電率達 1%。具體措施包含設備汰換 (乾燥機設備汰換、泵浦更換為 IE3 節能馬達、冷卻水塔濾材更換)、參數優化 (冰水主機冷凝器清洗保養、空壓機 PCW 冷卻水改冰水供應、區域風機運轉時間及頻率調整等)、照明汰換 (使用高效率 LED、調整部分區域照明管控方式) 及設置太陽能板自發自用。,✅,❌,3.3%,1%,3.5%,❌,15% (2030),❌
華新,1605,"293,730",2050,15%,❌,三、氣候變遷因應策略：為因應極端氣候帶來之風險與機會，華新積極展開各項減碳行動，確立集團內溫室氣體減量目標，並成立節能減排小組，打造綠色低碳營運模式、並透過持續不斷的技術創新研發能力，提升綠色製程並精進綠色產品。策略主軸包含綠色生產、再生能源、綠色營運、循環經濟、綠色產品。,✅,✅,0.2%,1%,10.4%,✅,,❌
京元電子,2449,"280,120",2050,15%,❌,關鍵減量策略主要涵蓋：推動節能專案以提高能源使用效率、透過綠電轉供持續擴大再生能源使用、既有及新建廠區屋頂建置太陽能發電系統、廠務及生產製程閥體冷媒汰換為低GWP值冷媒、持續關注重碳權交易市場。此外，再生能源策略包括規劃太陽能板設置、簽訂綠電憑證購電協議（CDDP）、與能源公司合作開發案場。,✅,❌,-7.1%,,2.4%,❌,20% (2030),❌
台勝科,3532,"229,103",2050,25%,遠低於2°C,公司設定2050碳中和目標，透過「六綠」原則（綠建築、綠能源、綠採購、綠製程、綠排放、綠產品）推動氣候策略藍圖。策略包括整合氣候議題至管理面向、推動低碳供應鏈與範疇三盤查、節能改善、規劃再生能源建置與採購再生能源憑證，並設定2030年範疇一、二溫室氣體排放減量25%及再生能源使用比例25%目標。,❌,✅,2.0%,,,❌,25% (2030),❌
大立光,3008,"164,275",,,❌,"擬定碳減量計畫與再生能源策略，持續進行節能減碳措施。導入高效率空調、製程冷卻與照明系統(如變頻空壓機、LED照明)。溫控調整或增設定時裝置以降低運轉耗電。推動E化系統減少用紙消耗。設置電力監控系統。安裝節水設備，定期記錄用水流量及分析。高耗能及老舊設備汰換。新建廠規劃建置1,100KW太陽光電。尋找合適再生能源取代傳統能源。廠區綠化。廠區內生產製程物料使用源頭控管，避免使用現行環保技術無法處理的原物料。",❌,❌,,,0.0%,❌,10% (2028),❌
福懋,1434,"161,770",2050,34%,遠低於2°C,轉換低碳燃料、使用再生能源、製程改善、停用燃煤，燃油轉天然氣，使用太陽能發電，並購買綠電、運用負排放技術、導入先進製程技術與製程設備改善、提升生產與能源運用效率、落實零煤政策、與供應鏈合作以環保回收材料，開發綠色低碳產品。,❌,✅,,,,❌,,❌
正新,2105,"79,551",,22%,❌,節能減碳委員會，各廠節能措施定期報告計畫及成果。提出自主減量計畫方案。推動節能方案，主軸面向則放在製程/廠務設備最佳化、舊設備汰換與節能控制管理等。代表性節能方案包含設備提升改造、更換節能設備、技術優化、綠能使用。,❌,❌,,1%,2.2%,❌,12% (2030),❌
統一,1216,"77,562",,38%,❌,統一企業的減排措施包括以低污染的天然氣取代燃料油，每年實施節能專案（內容包含設備汰換改造、設備參數優化、生產流程調控等），2024年重點為冰水主機汰換與鍋爐系統改良。持續進行產品碳足跡標籤認證。在價值鏈排放方面，針對交易金額前20大的供應商進行溫室氣體盤查及節能減碳教育訓練。具體行動計畫還包括增設太陽光電、提升能源使用或導入高效節能設備與購買綠電，使用潔淨能源（重油改天然氣）、採用高效率照明、高效率泵浦/馬達、沼氣發電、熱泵、磁浮冰水主機、氣浮鼓風機、空壓機及冰水系統採變頻主輔機整合、廢熱回收、製程改善、提高設備效率等專案。,✅,❌,-3.2%,1%,,❌,,❌
國巨*,2327,"75,048",2050,,❌,2024 年，我們整合「自動化生產」、「製程數位化」與「能源管理優化」三大策略，創造兼顧環保與營運效能的新標竿。我們逐步擴大再生能源使用與水資源管理目標，確保企業營運與環境保護並行不悖。同時，國巨全面對照 TCFD 架構進行氣候風險識別與資訊揭露，建立包含碳排放、用水、再生能源等關鍵指標的追蹤機制，強化永續治理基礎，穩健邁向 2050 年淨零排放目標。/ 目前公司主要策略為強化研發能力以符合客戶低環境衝擊產品的需求，同時透過提升再生能源使用率，設定各廠節能目標、提升單位產能績效降低生產之能源耗量，更預計逐步於各廠建置再生能源系統及導入 ISO 50001 能源管理系統。,✅,❌,-8.1%,1%,4.5%,❌,,❌
華新科,2492,"55,942",2050,15%,❌,公司制定了碳減排策略，包含每年至少1%的能源強度降低目標和逐步導入再生能源的計畫。長期願景與轉型路徑包含：(1)能源轉型：逐年提高再生能源使用比重，減少對傳統化石能源的依賴，透過自建太陽能發電、外購綠電及購買再生能源憑證等方式，循序漸進提高再生能源用電比例。(2)製程創新：投入研發低碳製造技術與設備升級，在生產流程中減少能源耗用和廢熱，提高生產效率。(3)產品與市場：開發符合綠色經濟需求的新產品，例如高可靠度、低能耗的被動元件，以支援電動車、5G、再生能源設備等應用，抓住氣候行動帶來的市場機會。,✅,❌,-4.8%,2%,,❌,,❌
上銀,2049,"37,751",2050,42%,符合1.5°C目標,加大低碳產品的研發投入，從產品的原料選擇、運輸、製造過程到使用階段展開各項減碳任務。透過「提高能源效率、創新低碳產品、循環經濟減廢、導入再生能源」四大核心策略，全面展開減碳行動。,✅,✅,4.6%,2%,2.1%,✅,,❌
長興,1717,"31,335",2050,30%,❌,評估新能源技術、燃料重油改⽤低污染的天然氣、更換變頻式馬達與高效節能設備、提升鍋爐燃燒效率、優化製程工藝，以及導入設備節能聯控等專案。制定提⾼再⽣能源佔比的政策，並設立短、中、⻑期減碳KPI，推動多元綠電布局與建置。,✅,✅,-3.9%,,5.7%,✅,10% (2030),❌
廣達,2382,"27,466",2050,42%,承諾設定科學基礎目標,廣達將持續深化內部節能減碳行動，並擴展低碳營運策略。全球各營運據點積極推動節能與低碳專案，涵蓋設備升級與汰換、流程優化、營運模式調整、員工行為改善，以及逐步擴大綠電採購。2024年共執行81項節能減碳方案，較2023年增加27項，具體措施包括冰水主機設備汰換與安裝、馬達、增設智慧電錶、鍋爐加裝節能器等、安裝變頻器。,❌,✅,-2.4%,,47.5%,❌,50% (2030),❌
